person_id,timestamp,event_type,zone,age_group,gender,duration,person_type
19,2025-04-14 16:08:00,stay,four_seat,20s,F,33,dine-in
19,2025-04-14 16:25:00,exit,four_seat,20s,F,33,dine-in
20,2025-04-14 15:06:00,enter,two_seat,30s,F,NULL,dine-in
20,2025-04-14 15:06:00,wait,two_seat,30s,F,NULL,dine-in
21,2025-04-14 10:15:00,enter,two_seat,60+,F,NULL,dine-in
21,2025-04-14 10:48:00,stay,two_seat,60+,F,67,dine-in
21,2025-04-14 11:22:00,exit,two_seat,60+,F,67,dine-in
22,2025-04-14 10:13:00,enter,four_seat,30s,F,NULL,dine-in
22,2025-04-14 10:22:00,stay,four_seat,30s,F,19,dine-in
22,2025-04-14 10:32:00,exit,four_seat,30s,F,19,dine-in
23,2025-04-14 16:34:00,enter,two_seat,20s,M,NULL,dine-in
23,2025-04-14 16:34:00,wait,two_seat,20s,M,NULL,dine-in
24,2025-04-14 12:01:00,enter,NULL,teen,M,4,takeout
24,2025-04-14 12:05:00,exit,NULL,teen,M,4,takeout
25,2025-04-14 19:05:00,enter,two_seat,teen,F,NULL,dine-in
25,2025-04-14 19:53:00,stay,two_seat,teen,F,96,dine-in
25,2025-04-14 20:41:00,exit,two_seat,teen,F,96,dine-in
26,2025-04-14 12:47:00,enter,four_seat,30s,F,NULL,dine-in
26,2025-04-14 12:58:00,stay,four_seat,30s,F,23,dine-in
26,2025-04-14 13:10:00,exit,four_seat,30s,F,23,dine-in
27,2025-04-14 18:20:00,enter,NULL,30s,F,7,takeout
27,2025-04-14 18:27:00,exit,NULL,30s,F,7,takeout
28,2025-04-14 10:46:00,enter,four_seat,50s,M,NULL,dine-in
28,2025-04-14 10:59:00,stay,four_seat,50s,M,26,dine-in
28,2025-04-14 11:12:00,exit,four_seat,50s,M,26,dine-in
29,2025-04-14 13:21:00,enter,two_seat,teen,M,NULL,dine-in
29,2025-04-14 13:46:00,stay,two_seat,teen,M,50,dine-in
29,2025-04-14 14:11:00,exit,two_seat,teen,M,50,dine-in
30,2025-04-14 17:01:00,enter,NULL,20s,M,3,takeout
30,2025-04-14 17:04:00,exit,NULL,20s,M,3,takeout
31,2025-04-14 14:48:00,enter,four_seat,20s,M,NULL,dine-in
31,2025-04-14 15:31:00,stay,four_seat,20s,M,87,dine-in
31,2025-04-14 16:15:00,exit,four_seat,20s,M,87,dine-in
32,2025-04-14 09:09:00,enter,four_seat,30s,M,NULL,dine-in
32,2025-04-14 09:22:00,stay,four_seat,30s,M,26,dine-in
32,2025-04-14 09:35:00,exit,four_seat,30s,M,26,dine-in
33,2025-04-14 15:31:00,enter,four_seat,20s,F,NULL,dine-in
33,2025-04-14 16:16:00,stay,four_seat,20s,F,91,dine-in
33,2025-04-14 17:02:00,exit,four_seat,20s,F,91,dine-in
34,2025-04-14 09:02:00,enter,four_seat,30s,F,NULL,dine-in
34,2025-04-14 09:15:00,stay,four_seat,30s,F,26,dine-in
34,2025-04-14 09:28:00,exit,four_seat,30s,F,26,dine-in
35,2025-04-14 17:40:00,enter,four_seat,50s,F,NULL,dine-in
35,2025-04-14 18:35:00,stay,four_seat,50s,F,110,dine-in
35,2025-04-14 19:30:00,exit,four_seat,50s,F,110,dine-in
36,2025-04-14 16:17:00,enter,two_seat,20s,M,NULL,dine-in
36,2025-04-14 16:59:00,stay,two_seat,20s,M,84,dine-in
36,2025-04-14 17:41:00,exit,two_seat,20s,M,84,dine-in
37,2025-04-14 09:22:00,enter,NULL,40s,F,4,takeout
37,2025-04-14 09:26:00,exit,NULL,40s,F,4,takeout
38,2025-04-14 19:56:00,enter,four_seat,30s,M,NULL,dine-in
38,2025-04-14 20:19:00,stay,four_seat,30s,M,47,dine-in
38,2025-04-14 20:43:00,exit,four_seat,30s,M,47,dine-in
39,2025-04-14 13:38:00,enter,four_seat,30s,F,NULL,dine-in
39,2025-04-14 13:56:00,stay,four_seat,30s,F,37,dine-in
39,2025-04-14 14:15:00,exit,four_seat,30s,F,37,dine-in
40,2025-04-14 10:31:00,enter,four_seat,20s,F,NULL,dine-in
40,2025-04-14 11:04:00,stay,four_seat,20s,F,67,dine-in
40,2025-04-14 11:38:00,exit,four_seat,20s,F,67,dine-in
41,2025-04-14 14:44:00,enter,four_seat,20s,M,NULL,dine-in
41,2025-04-14 15:12:00,stay,four_seat,20s,M,57,dine-in
41,2025-04-14 15:41:00,exit,four_seat,20s,M,57,dine-in
42,2025-04-14 15:32:00,enter,two_seat,30s,F,NULL,dine-in
42,2025-04-14 15:43:00,stay,two_seat,30s,F,23,dine-in
42,2025-04-14 15:55:00,exit,two_seat,30s,F,23,dine-in
43,2025-04-14 10:36:00,enter,NULL,30s,M,3,takeout
43,2025-04-14 10:39:00,exit,NULL,30s,M,3,takeout
44,2025-04-14 11:33:00,enter,four_seat,30s,M,NULL,dine-in
44,2025-04-14 11:57:00,stay,four_seat,30s,M,48,dine-in
44,2025-04-14 12:21:00,exit,four_seat,30s,M,48,dine-in
45,2025-04-14 17:41:00,enter,two_seat,30s,M,NULL,dine-in
45,2025-04-14 17:41:00,wait,two_seat,30s,M,NULL,dine-in
46,2025-04-14 13:44:00,enter,four_seat,30s,M,NULL,dine-in
46,2025-04-14 14:08:00,stay,four_seat,30s,M,49,dine-in
46,2025-04-14 14:33:00,exit,four_seat,30s,M,49,dine-in
47,2025-04-14 09:32:00,enter,NULL,60+,F,2,takeout
47,2025-04-14 09:34:00,exit,NULL,60+,F,2,takeout
48,2025-04-14 16:33:00,enter,four_seat,20s,M,NULL,dine-in
48,2025-04-14 17:06:00,stay,four_seat,20s,M,67,dine-in
48,2025-04-14 17:40:00,exit,four_seat,20s,M,67,dine-in
49,2025-04-14 09:50:00,enter,four_seat,40s,F,NULL,dine-in
49,2025-04-14 10:02:00,stay,four_seat,40s,F,25,dine-in
49,2025-04-14 10:15:00,exit,four_seat,40s,F,25,dine-in
50,2025-04-14 13:05:00,enter,NULL,30s,F,6,takeout
50,2025-04-14 13:11:00,exit,NULL,30s,F,6,takeout
51,2025-04-14 18:31:00,enter,two_seat,20s,F,NULL,dine-in
51,2025-04-14 19:14:00,stay,two_seat,20s,F,87,dine-in
51,2025-04-14 19:58:00,exit,two_seat,20s,F,87,dine-in
52,2025-04-14 20:23:00,enter,two_seat,20s,F,NULL,dine-in
52,2025-04-14 20:45:00,stay,two_seat,20s,F,44,dine-in
52,2025-04-14 21:07:00,exit,two_seat,20s,F,44,dine-in
53,2025-04-14 15:12:00,enter,four_seat,20s,F,NULL,dine-in
53,2025-04-14 15:12:00,wait,four_seat,20s,F,NULL,dine-in
54,2025-04-14 11:04:00,enter,NULL,20s,F,8,takeout
54,2025-04-14 11:12:00,exit,NULL,20s,F,8,takeout
55,2025-04-14 11:56:00,enter,two_seat,40s,M,NULL,dine-in
55,2025-04-14 11:56:00,wait,two_seat,40s,M,NULL,dine-in
56,2025-04-14 13:18:00,enter,NULL,20s,F,4,takeout
56,2025-04-14 13:22:00,exit,NULL,20s,F,4,takeout
57,2025-04-14 12:52:00,enter,four_seat,50s,F,NULL,dine-in
57,2025-04-14 13:09:00,stay,four_seat,50s,F,35,dine-in
57,2025-04-14 13:27:00,exit,four_seat,50s,F,35,dine-in
58,2025-04-14 12:01:00,enter,two_seat,50s,M,NULL,dine-in
58,2025-04-14 12:01:00,wait,two_seat,50s,M,NULL,dine-in
59,2025-04-14 10:13:00,enter,four_seat,30s,M,NULL,dine-in
59,2025-04-14 10:31:00,stay,four_seat,30s,M,37,dine-in
59,2025-04-14 10:50:00,exit,four_seat,30s,M,37,dine-in
60,2025-04-14 16:26:00,enter,NULL,30s,M,2,takeout
60,2025-04-14 16:28:00,exit,NULL,30s,M,2,takeout
61,2025-04-14 17:36:00,enter,two_seat,20s,F,NULL,dine-in
61,2025-04-14 17:36:00,wait,two_seat,20s,F,NULL,dine-in
62,2025-04-14 20:10:00,enter,four_seat,30s,M,NULL,dine-in
62,2025-04-14 20:29:00,stay,four_seat,30s,M,38,dine-in
62,2025-04-14 20:48:00,exit,four_seat,30s,M,38,dine-in
63,2025-04-14 12:29:00,enter,NULL,40s,F,4,takeout
63,2025-04-14 12:33:00,exit,NULL,40s,F,4,takeout
64,2025-04-14 13:03:00,enter,two_seat,30s,F,NULL,dine-in
64,2025-04-14 13:23:00,stay,two_seat,30s,F,40,dine-in
64,2025-04-14 13:43:00,exit,two_seat,30s,F,40,dine-in
65,2025-04-14 14:02:00,enter,two_seat,teen,M,NULL,dine-in
65,2025-04-14 14:02:00,wait,two_seat,teen,M,NULL,dine-in
66,2025-04-14 13:39:00,enter,two_seat,30s,M,NULL,dine-in
66,2025-04-14 13:39:00,wait,two_seat,30s,M,NULL,dine-in
67,2025-04-14 13:52:00,enter,four_seat,20s,F,NULL,dine-in
67,2025-04-14 14:13:00,stay,four_seat,20s,F,42,dine-in
67,2025-04-14 14:34:00,exit,four_seat,20s,F,42,dine-in
68,2025-04-14 15:51:00,enter,two_seat,teen,M,NULL,dine-in
68,2025-04-14 15:51:00,wait,two_seat,teen,M,NULL,dine-in
69,2025-04-14 17:47:00,enter,four_seat,30s,F,NULL,dine-in
69,2025-04-14 18:34:00,stay,four_seat,30s,F,94,dine-in
69,2025-04-14 19:21:00,exit,four_seat,30s,F,94,dine-in
70,2025-04-14 11:29:00,enter,four_seat,40s,M,NULL,dine-in
70,2025-04-14 11:29:00,wait,four_seat,40s,M,NULL,dine-in
71,2025-04-14 11:58:00,enter,two_seat,50s,M,NULL,dine-in
71,2025-04-14 12:10:00,stay,two_seat,50s,M,25,dine-in
71,2025-04-14 12:23:00,exit,two_seat,50s,M,25,dine-in
72,2025-04-14 13:44:00,enter,two_seat,teen,M,NULL,dine-in
72,2025-04-14 13:44:00,wait,two_seat,teen,M,NULL,dine-in
73,2025-04-14 15:15:00,enter,four_seat,teen,F,NULL,dine-in
73,2025-04-14 15:15:00,wait,four_seat,teen,F,NULL,dine-in
74,2025-04-14 16:19:00,enter,two_seat,30s,F,NULL,dine-in
74,2025-04-14 17:06:00,stay,two_seat,30s,F,95,dine-in
74,2025-04-14 17:54:00,exit,two_seat,30s,F,95,dine-in
75,2025-04-14 09:21:00,enter,four_seat,60+,M,NULL,dine-in
75,2025-04-14 10:15:00,stay,four_seat,60+,M,108,dine-in
75,2025-04-14 11:09:00,exit,four_seat,60+,M,108,dine-in
76,2025-04-14 16:51:00,enter,four_seat,20s,F,NULL,dine-in
76,2025-04-14 16:51:00,wait,four_seat,20s,F,NULL,dine-in
77,2025-04-14 14:56:00,enter,NULL,30s,F,7,takeout
77,2025-04-14 15:03:00,exit,NULL,30s,F,7,takeout
78,2025-04-14 18:33:00,enter,two_seat,60+,M,NULL,dine-in
78,2025-04-14 18:33:00,wait,two_seat,60+,M,NULL,dine-in
79,2025-04-14 20:02:00,enter,four_seat,30s,F,NULL,dine-in
79,2025-04-14 20:02:00,wait,four_seat,30s,F,NULL,dine-in
80,2025-04-14 13:35:00,enter,two_seat,20s,M,NULL,dine-in
80,2025-04-14 14:05:00,stay,two_seat,20s,M,60,dine-in
80,2025-04-14 14:35:00,exit,two_seat,20s,M,60,dine-in
81,2025-04-14 13:44:00,enter,four_seat,50s,M,NULL,dine-in
81,2025-04-14 13:44:00,wait,four_seat,50s,M,NULL,dine-in
82,2025-04-14 09:05:00,enter,two_seat,40s,M,NULL,dine-in
82,2025-04-14 09:26:00,stay,two_seat,40s,M,43,dine-in
82,2025-04-14 09:48:00,exit,two_seat,40s,M,43,dine-in
83,2025-04-14 20:32:00,enter,two_seat,20s,F,NULL,dine-in
83,2025-04-14 20:47:00,stay,two_seat,20s,F,31,dine-in
83,2025-04-14 21:03:00,exit,two_seat,20s,F,31,dine-in
84,2025-04-14 10:22:00,enter,NULL,50s,M,2,takeout
84,2025-04-14 10:24:00,exit,NULL,50s,M,2,takeout
85,2025-04-14 17:29:00,enter,four_seat,20s,M,NULL,dine-in
85,2025-04-14 17:55:00,stay,four_seat,20s,M,53,dine-in
85,2025-04-14 18:22:00,exit,four_seat,20s,M,53,dine-in
86,2025-04-14 19:36:00,enter,NULL,20s,F,8,takeout
86,2025-04-14 19:44:00,exit,NULL,20s,F,8,takeout
87,2025-04-14 16:44:00,enter,four_seat,teen,F,NULL,dine-in
87,2025-04-14 16:44:00,wait,four_seat,teen,F,NULL,dine-in
88,2025-04-14 12:02:00,enter,four_seat,30s,M,NULL,dine-in
88,2025-04-14 12:02:00,wait,four_seat,30s,M,NULL,dine-in
89,2025-04-14 09:08:00,enter,four_seat,40s,F,NULL,dine-in
89,2025-04-14 09:08:00,wait,four_seat,40s,F,NULL,dine-in
90,2025-04-14 17:19:00,enter,two_seat,60+,F,NULL,dine-in
90,2025-04-14 17:19:00,wait,two_seat,60+,F,NULL,dine-in
91,2025-04-14 10:27:00,enter,NULL,20s,F,4,takeout
91,2025-04-14 10:31:00,exit,NULL,20s,F,4,takeout
92,2025-04-14 19:46:00,enter,NULL,20s,M,4,takeout
92,2025-04-14 19:50:00,exit,NULL,20s,M,4,takeout
93,2025-04-14 14:37:00,enter,NULL,50s,M,7,takeout
93,2025-04-14 14:44:00,exit,NULL,50s,M,7,takeout
94,2025-04-14 16:41:00,enter,four_seat,30s,F,NULL,dine-in
94,2025-04-14 16:41:00,wait,four_seat,30s,F,NULL,dine-in
95,2025-04-14 13:52:00,enter,four_seat,50s,M,NULL,dine-in
95,2025-04-14 13:52:00,wait,four_seat,50s,M,NULL,dine-in
96,2025-04-14 20:15:00,enter,NULL,40s,M,8,takeout
96,2025-04-14 20:23:00,exit,NULL,40s,M,8,takeout
97,2025-04-14 13:02:00,enter,NULL,50s,F,5,takeout
97,2025-04-14 13:07:00,exit,NULL,50s,F,5,takeout
98,2025-04-14 09:46:00,enter,NULL,30s,F,5,takeout
98,2025-04-14 09:51:00,exit,NULL,30s,F,5,takeout
99,2025-04-14 21:11:00,enter,two_seat,30s,F,NULL,dine-in
99,2025-04-14 21:11:00,wait,two_seat,30s,F,NULL,dine-in
100,2025-04-14 21:31:00,enter,NULL,20s,F,8,takeout
100,2025-04-14 21:39:00,exit,NULL,20s,F,8,takeout
101,2025-04-14 13:44:00,enter,four_seat,50s,F,NULL,dine-in
101,2025-04-14 13:44:00,wait,four_seat,50s,F,NULL,dine-in
102,2025-04-14 10:10:00,enter,two_seat,20s,M,NULL,dine-in
102,2025-04-14 10:52:00,stay,two_seat,20s,M,84,dine-in
102,2025-04-14 11:34:00,exit,two_seat,20s,M,84,dine-in
103,2025-04-14 18:10:00,enter,four_seat,20s,F,NULL,dine-in
103,2025-04-14 18:47:00,stay,four_seat,20s,F,75,dine-in
103,2025-04-14 19:25:00,exit,four_seat,20s,F,75,dine-in
104,2025-04-14 10:16:00,enter,four_seat,20s,M,NULL,dine-in
104,2025-04-14 10:16:00,wait,four_seat,20s,M,NULL,dine-in
105,2025-04-14 10:56:00,enter,two_seat,50s,M,NULL,dine-in
105,2025-04-14 11:35:00,stay,two_seat,50s,M,79,dine-in
105,2025-04-14 12:15:00,exit,two_seat,50s,M,79,dine-in
106,2025-04-14 16:30:00,enter,two_seat,30s,F,NULL,dine-in
106,2025-04-14 17:01:00,stay,two_seat,30s,F,63,dine-in
106,2025-04-14 17:33:00,exit,two_seat,30s,F,63,dine-in
107,2025-04-14 09:32:00,enter,four_seat,50s,F,NULL,dine-in
107,2025-04-14 09:32:00,wait,four_seat,50s,F,NULL,dine-in
108,2025-04-14 13:05:00,enter,NULL,teen,M,8,takeout
108,2025-04-14 13:13:00,exit,NULL,teen,M,8,takeout
109,2025-04-14 12:22:00,enter,four_seat,20s,M,NULL,dine-in
109,2025-04-14 12:30:00,stay,four_seat,20s,M,17,dine-in
109,2025-04-14 12:39:00,exit,four_seat,20s,M,17,dine-in
110,2025-04-14 12:48:00,enter,two_seat,30s,M,NULL,dine-in
110,2025-04-14 12:48:00,wait,two_seat,30s,M,NULL,dine-in
111,2025-04-14 16:28:00,enter,four_seat,20s,F,NULL,dine-in
111,2025-04-14 16:28:00,wait,four_seat,20s,F,NULL,dine-in
112,2025-04-14 12:30:00,enter,NULL,30s,F,7,takeout
112,2025-04-14 12:37:00,exit,NULL,30s,F,7,takeout
113,2025-04-14 19:45:00,enter,four_seat,20s,F,NULL,dine-in
113,2025-04-14 19:45:00,wait,four_seat,20s,F,NULL,dine-in
114,2025-04-14 12:19:00,enter,two_seat,20s,M,NULL,dine-in
114,2025-04-14 12:19:00,wait,two_seat,20s,M,NULL,dine-in
115,2025-04-14 11:31:00,enter,two_seat,30s,M,NULL,dine-in
115,2025-04-14 12:01:00,stay,two_seat,30s,M,61,dine-in
115,2025-04-14 12:32:00,exit,two_seat,30s,M,61,dine-in
116,2025-04-14 17:24:00,enter,four_seat,20s,F,NULL,dine-in
116,2025-04-14 17:24:00,wait,four_seat,20s,F,NULL,dine-in
117,2025-04-14 11:27:00,enter,two_seat,40s,M,NULL,dine-in
117,2025-04-14 11:35:00,stay,two_seat,40s,M,16,dine-in
117,2025-04-14 11:43:00,exit,two_seat,40s,M,16,dine-in
118,2025-04-15 10:44:00,enter,NULL,50s,F,7,takeout
118,2025-04-15 10:51:00,exit,NULL,50s,F,7,takeout
119,2025-04-15 11:26:00,enter,four_seat,30s,M,NULL,dine-in
119,2025-04-15 12:18:00,stay,four_seat,30s,M,104,dine-in
119,2025-04-15 13:10:00,exit,four_seat,30s,M,104,dine-in
120,2025-04-15 14:49:00,enter,four_seat,60+,F,NULL,dine-in
120,2025-04-15 15:14:00,stay,four_seat,60+,F,51,dine-in
120,2025-04-15 15:40:00,exit,four_seat,60+,F,51,dine-in
121,2025-04-15 17:24:00,enter,four_seat,30s,M,NULL,dine-in
121,2025-04-15 17:42:00,stay,four_seat,30s,M,37,dine-in
121,2025-04-15 18:01:00,exit,four_seat,30s,M,37,dine-in
122,2025-04-15 13:06:00,enter,NULL,40s,F,4,takeout
122,2025-04-15 13:10:00,exit,NULL,40s,F,4,takeout
123,2025-04-15 16:10:00,enter,two_seat,30s,M,NULL,dine-in
123,2025-04-15 16:10:00,wait,two_seat,30s,M,NULL,dine-in
124,2025-04-15 12:47:00,enter,NULL,30s,F,3,takeout
124,2025-04-15 12:50:00,exit,NULL,30s,F,3,takeout
125,2025-04-15 09:37:00,enter,NULL,50s,F,3,takeout
125,2025-04-15 09:40:00,exit,NULL,50s,F,3,takeout
126,2025-04-15 10:08:00,enter,NULL,50s,M,5,takeout
126,2025-04-15 10:13:00,exit,NULL,50s,M,5,takeout
127,2025-04-15 18:16:00,enter,two_seat,30s,F,NULL,dine-in
127,2025-04-15 18:36:00,stay,two_seat,30s,F,41,dine-in
127,2025-04-15 18:57:00,exit,two_seat,30s,F,41,dine-in
128,2025-04-15 10:02:00,enter,NULL,50s,F,6,takeout
128,2025-04-15 10:08:00,exit,NULL,50s,F,6,takeout
129,2025-04-15 16:42:00,enter,two_seat,20s,M,NULL,dine-in
129,2025-04-15 16:42:00,wait,two_seat,20s,M,NULL,dine-in
130,2025-04-15 19:39:00,enter,two_seat,50s,F,NULL,dine-in
130,2025-04-15 19:39:00,wait,two_seat,50s,F,NULL,dine-in
131,2025-04-15 10:33:00,enter,two_seat,60+,M,NULL,dine-in
131,2025-04-15 10:54:00,stay,two_seat,60+,M,43,dine-in
131,2025-04-15 11:16:00,exit,two_seat,60+,M,43,dine-in
132,2025-04-15 17:26:00,enter,four_seat,30s,F,NULL,dine-in
132,2025-04-15 18:13:00,stay,four_seat,30s,F,95,dine-in
132,2025-04-15 19:01:00,exit,four_seat,30s,F,95,dine-in
133,2025-04-15 14:28:00,enter,two_seat,30s,M,NULL,dine-in
133,2025-04-15 14:51:00,stay,two_seat,30s,M,46,dine-in
133,2025-04-15 15:14:00,exit,two_seat,30s,M,46,dine-in
134,2025-04-15 17:30:00,enter,two_seat,20s,F,NULL,dine-in
134,2025-04-15 17:30:00,wait,two_seat,20s,F,NULL,dine-in
135,2025-04-15 11:10:00,enter,four_seat,50s,F,NULL,dine-in
135,2025-04-15 11:28:00,stay,four_seat,50s,F,37,dine-in
135,2025-04-15 11:47:00,exit,four_seat,50s,F,37,dine-in
136,2025-04-15 09:16:00,enter,four_seat,50s,M,NULL,dine-in
136,2025-04-15 09:38:00,stay,four_seat,50s,M,44,dine-in
136,2025-04-15 10:00:00,exit,four_seat,50s,M,44,dine-in
137,2025-04-15 12:37:00,enter,four_seat,60+,F,NULL,dine-in
137,2025-04-15 13:23:00,stay,four_seat,60+,F,92,dine-in
137,2025-04-15 14:09:00,exit,four_seat,60+,F,92,dine-in
138,2025-04-15 10:38:00,enter,two_seat,20s,F,NULL,dine-in
138,2025-04-15 10:38:00,wait,two_seat,20s,F,NULL,dine-in
139,2025-04-15 20:38:00,enter,two_seat,30s,M,NULL,dine-in
139,2025-04-15 20:38:00,wait,two_seat,30s,M,NULL,dine-in
140,2025-04-15 18:26:00,enter,four_seat,30s,M,NULL,dine-in
140,2025-04-15 19:21:00,stay,four_seat,30s,M,110,dine-in
140,2025-04-15 20:16:00,exit,four_seat,30s,M,110,dine-in
141,2025-04-15 14:46:00,enter,four_seat,20s,M,NULL,dine-in
141,2025-04-15 15:34:00,stay,four_seat,20s,M,97,dine-in
141,2025-04-15 16:23:00,exit,four_seat,20s,M,97,dine-in
142,2025-04-15 15:34:00,enter,four_seat,50s,F,NULL,dine-in
142,2025-04-15 15:48:00,stay,four_seat,50s,F,29,dine-in
142,2025-04-15 16:03:00,exit,four_seat,50s,F,29,dine-in
143,2025-04-15 21:21:00,enter,four_seat,teen,M,NULL,dine-in
143,2025-04-15 22:09:00,stay,four_seat,teen,M,96,dine-in
143,2025-04-15 22:57:00,exit,four_seat,teen,M,96,dine-in
144,2025-04-15 16:10:00,enter,two_seat,20s,F,NULL,dine-in
144,2025-04-15 16:47:00,stay,two_seat,20s,F,74,dine-in
144,2025-04-15 17:24:00,exit,two_seat,20s,F,74,dine-in
145,2025-04-15 09:40:00,enter,NULL,20s,M,4,takeout
145,2025-04-15 09:44:00,exit,NULL,20s,M,4,takeout
146,2025-04-15 17:30:00,enter,two_seat,40s,M,NULL,dine-in
146,2025-04-15 17:30:00,wait,two_seat,40s,M,NULL,dine-in
147,2025-04-15 11:40:00,enter,four_seat,30s,F,NULL,dine-in
147,2025-04-15 11:51:00,stay,four_seat,30s,F,22,dine-in
147,2025-04-15 12:02:00,exit,four_seat,30s,F,22,dine-in
148,2025-04-15 17:31:00,enter,two_seat,60+,M,NULL,dine-in
148,2025-04-15 17:31:00,wait,two_seat,60+,M,NULL,dine-in
149,2025-04-15 15:10:00,enter,two_seat,30s,M,NULL,dine-in
149,2025-04-15 16:03:00,stay,two_seat,30s,M,107,dine-in
149,2025-04-15 16:57:00,exit,two_seat,30s,M,107,dine-in
150,2025-04-15 20:58:00,enter,two_seat,20s,M,NULL,dine-in
150,2025-04-15 20:58:00,wait,two_seat,20s,M,NULL,dine-in
151,2025-04-15 19:24:00,enter,two_seat,20s,F,NULL,dine-in
151,2025-04-15 19:24:00,wait,two_seat,20s,F,NULL,dine-in
152,2025-04-15 14:36:00,enter,four_seat,teen,M,NULL,dine-in
152,2025-04-15 15:08:00,stay,four_seat,teen,M,65,dine-in
152,2025-04-15 15:41:00,exit,four_seat,teen,M,65,dine-in
153,2025-04-15 12:10:00,enter,two_seat,30s,F,NULL,dine-in
153,2025-04-15 12:25:00,stay,two_seat,30s,F,30,dine-in
153,2025-04-15 12:40:00,exit,two_seat,30s,F,30,dine-in
154,2025-04-15 11:13:00,enter,two_seat,30s,F,NULL,dine-in
154,2025-04-15 11:28:00,stay,two_seat,30s,F,31,dine-in
154,2025-04-15 11:44:00,exit,two_seat,30s,F,31,dine-in
155,2025-04-15 14:38:00,enter,two_seat,teen,F,NULL,dine-in
155,2025-04-15 14:38:00,wait,two_seat,teen,F,NULL,dine-in
156,2025-04-15 19:58:00,enter,four_seat,30s,M,NULL,dine-in
156,2025-04-15 20:21:00,stay,four_seat,30s,M,46,dine-in
156,2025-04-15 20:44:00,exit,four_seat,30s,M,46,dine-in
157,2025-04-15 21:41:00,enter,NULL,50s,F,7,takeout
157,2025-04-15 21:48:00,exit,NULL,50s,F,7,takeout
158,2025-04-15 18:09:00,enter,NULL,20s,M,7,takeout
158,2025-04-15 18:16:00,exit,NULL,20s,M,7,takeout
